ID,Nome,Descrição,Preço
1,Cheeseburger,Um hambúrguer de queijo delicioso,9.99
2,Pizza Margherita,Uma pizza clássica com molho de tomate e queijo,14.99
3,Frango Grelhado,Peito de frango grelhado com legumes,12.49
4,Batata Frita,Batatas fritas crocantes,5.99
5,Refrigerante de Cola,Bebida refrescante com sabor de cola,2.99
6,Sushi de Salmão,Sushi de salmão fresco,18.99
7,Salada Caesar,Salada clássica com molho Caesar,8.99
8,Tacos de Carne,Tacos recheados com carne de boi,10.99
9,Cerveja Artesanal,Uma seleção de cervejas artesanais,6.99
10,Sorvete de Chocolate,Sorvete cremoso de chocolate,4.49
11,Omelete de Queijo,Omelete com queijo derretido,7.49
12,Massa Carbonara,Massa com molho à base de ovos e bacon,11.99
13,Frappuccino de Café,Bebida gelada de café e creme,5.49
14,Salmão Grelhado,Salmão grelhado com molho de ervas,16.99
15,Sopa de Tomate,Sopa de tomate caseira,6.49
16,Sanduíche de Peru,Sanduíche de peru com vegetais frescos,7.99
17,Mousse de Chocolate,Sobremesa de mousse de chocolate,4.99
18,Tofu com Legumes,Prato vegano de tofu com legumes,10.49
19,Milkshake de Morango,Milkshake cremoso de morango,4.99
20,Tacos de Peixe,Tacos de peixe com molho de abacate,12.99
21,Salada de Quinoa,Salada saudável de quinoa,9.49
22,Espaguete Alfredo,Massa com molho Alfredo cremoso,13.49
23,Frutas Tropicais,Uma seleção de frutas tropicais,6.99
24,Sanduíche de Frango,Sanduíche de frango crocante,8.49
25,Suco de Laranja,Suco natural de laranja,3.49
26,Cheeseburger Vegetariano,Hambúrguer vegetariano com queijo,10.49
27,Milkshake de Baunilha,Milkshake cremoso de baunilha,4.99
28,Sopa de Lentilha,Sopa de lentilha com especiarias,6.49
29,Cachorro-Quente,Um clássico cachorro-quente,4.99
30,Bolo de Chocolate,Bolo de chocolate fofinho,5.99

